iter	Passed	Remaining
407	5322	20766
408	5334	20751
409	5347	20736
410	5359	20722
411	5371	20704
412	5383	20686
413	5395	20670
414	5407	20653
415	5419	20636
416	5431	20619
417	5443	20602
418	5456	20586
419	5468	20570
420	5480	20554
421	5492	20536
422	5504	20520
423	5516	20504
424	5528	20487
425	5540	20470
426	5552	20453
427	5564	20436
428	5580	20434
429	5596	20432
430	5608	20418
431	5621	20405
432	5635	20393
433	5648	20380
434	5661	20368
435	5673	20353
436	5686	20339
437	5699	20326
438	5712	20311
439	5724	20296
440	5736	20279
441	5748	20261
442	5760	20245
443	5772	20230
444	5784	20214
445	5796	20198
446	5808	20181
447	5820	20164
448	5832	20147
449	5844	20131
450	5856	20115
451	5868	20098
452	5880	20082
453	5893	20067
454	5905	20052
455	5917	20037
456	5930	20021
457	5942	20008
458	5955	19995
459	5968	19980
460	5980	19966
461	5992	19950
462	6005	19935
463	6017	19920
464	6029	19904
465	6042	19891
466	6055	19876
467	6067	19862
468	6084	19861
469	6098	19851
470	6110	19837
471	6123	19823
472	6136	19809
473	6148	19795
474	6161	19782
475	6174	19768
476	6186	19753
477	6198	19737
478	6210	19722
479	6223	19707
480	6236	19693
481	6248	19678
482	6261	19667
483	6274	19652
484	6286	19637
485	6298	19621
486	6310	19606
487	6322	19590
488	6335	19575
489	6347	19561
490	6360	19548
491	6372	19531
492	6384	19516
493	6396	19500
494	6408	19485
495	6420	19469
496	6433	19454
497	6445	19439
498	6457	19423
499	6469	19407
500	6481	19391
501	6493	19375
502	6505	19359
503	6517	19344
504	6528	19328
505	6541	19312
506	6553	19298
507	6565	19283
508	6581	19280
509	6596	19271
510	6608	19257
511	6621	19243
512	6633	19229
513	6646	19214
514	6658	19199
515	6670	19184
516	6682	19169
517	6695	19156
518	6714	19161
519	6727	19147
520	6739	19133
521	6752	19119
522	6765	19105
523	6777	19092
524	6790	19077
525	6802	19063
526	6815	19048
527	6827	19033
528	6844	19033
529	6860	19029
530	6873	19014
531	6885	19001
532	6898	18987
533	6911	18974
534	6924	18961
535	6936	18946
536	6948	18931
537	6961	18917
538	6974	18903
539	6986	18889
540	6998	18874
541	7011	18861
542	7024	18848
543	7036	18833
544	7048	18817
545	7061	18804
546	7080	18807
547	7093	18794
548	7106	18781
549	7119	18768
550	7131	18754
551	7143	18739
552	7155	18723
553	7167	18708
554	7179	18693
555	7191	18678
556	7203	18662
557	7215	18646
558	7227	18631
559	7239	18616
560	7251	18601
561	7263	18586
562	7275	18571
563	7289	18558
564	7301	18543
565	7313	18528
566	7325	18513
567	7337	18499
568	7349	18484
569	7361	18468
570	7373	18454
571	7386	18439
572	7399	18426
573	7411	18412
574	7424	18398
575	7436	18384
576	7448	18369
577	7460	18355
578	7473	18342
579	7485	18327
580	7499	18316
581	7511	18301
582	7523	18286
583	7536	18273
584	7548	18258
585	7565	18254
586	7581	18249
587	7595	18239
588	7609	18228
589	7622	18216
590	7635	18202
591	7647	18189
592	7660	18174
593	7672	18161
594	7686	18149
595	7699	18138
596	7713	18127
597	7726	18114
598	7739	18102
599	7756	18098
600	7771	18091
601	7787	18084
602	7804	18082
603	7826	18088
604	7854	18109
605	7881	18130
606	7933	18205
607	7953	18208
608	7972	18210
609	8002	18236
610	8024	18243
611	8050	18257
612	8086	18297
613	8112	18312
614	8168	18394
615	8200	18424
616	8232	18452
617	8251	18452
618	8282	18477
619	8312	18501
620	8363	18571
621	8392	18593
622	8421	18613
623	8460	18656
624	8509	18720
625	8539	18743
626	8564	18753
627	8585	18756
628	8615	18779
629	8649	18808
630	8684	18840
631	8712	18857
632	8736	18867
633	8756	18865
634	8779	18872
635	8801	18875
636	8820	18874
637	8841	18874
638	8858	18867
639	8879	18868
640	8894	18857
641	8909	18846
642	8925	18836
643	8941	18827
644	8959	18822
645	9032	18932
646	9061	18949
647	9092	18970
648	9116	18977
649	9135	18974
650	9154	18969
651	9172	18964
652	9193	18963
653	9216	18967
654	9239	18972
655	9265	18983
656	9286	18982
657	9312	18993
658	9338	19002
659	9363	19010
660	9394	19029
661	9415	19029
662	9437	19030
663	9460	19034
664	9487	19046
665	9509	19046
666	9533	19051
667	9551	19045
668	9577	19053
669	9602	19061
670	9619	19051
671	9641	19053
672	9668	19063
673	9688	19061
674	9711	19062
675	9751	19099
676	9785	19123
677	9810	19129
678	9834	19132
679	9854	19129
680	9883	19142
681	9906	19144
682	9934	19157
683	9957	19157
684	9978	19155
685	9997	19150
686	10016	19144
687	10032	19132
688	10050	19124
689	10066	19111
690	10081	19097
691	10097	19085
692	10113	19074
693	10129	19061
694	10145	19050
695	10160	19035
696	10180	19031
697	10196	19018
698	10214	19011
699	10235	19009
700	10256	19005
701	10273	18996
702	10289	18983
703	10305	18971
704	10325	18965
705	10350	18970
706	10372	18969
707	10390	18961
708	10406	18949
709	10425	18942
710	10447	18941
711	10470	18941
712	10500	18953
713	10522	18952
714	10542	18946
715	10560	18937
716	10579	18930
717	10596	18919
718	10614	18910
719	10630	18898
720	10647	18887
721	10662	18872
722	10679	18862
723	10697	18853
724	10724	18859
725	10745	18857
726	10764	18849
727	10779	18834
728	10793	18818
729	10808	18803
730	10823	18788
731	10839	18776
732	10855	18764
733	10871	18750
734	10889	18741
735	10906	18730
736	10922	18718
737	10940	18708
738	10960	18702
739	10980	18695
740	10996	18684
741	11015	18675
742	11031	18662
743	11055	18664
744	11073	18654
745	11091	18644
746	11110	18636
747	11128	18626
748	11149	18622
749	11174	18623
750	11194	18617
751	11214	18612
752	11233	18603
753	11251	18592
754	11270	18584
755	11287	18573
756	11303	18560
757	11320	18548
758	11336	18535
759	11352	18522
760	11369	18510
761	11384	18495
762	11400	18482
763	11421	18478
764	11439	18467
765	11455	18455
766	11471	18441
767	11491	18434
768	11506	18418
769	11518	18400
770	11531	18381
771	11545	18364
772	11558	18346
773	11571	18329
774	11586	18313
775	11610	18313
776	11631	18307
777	11653	18304
778	11672	18296
779	11698	18296
780	11716	18287
781	11746	18295
782	11771	18296
783	11803	18307
784	11839	18325
785	11873	18339
786	11897	18338
787	11930	18349
788	11956	18352
789	11987	18360
790	12016	18366
791	12042	18368
792	12081	18389
793	12111	18396
794	12138	18398
795	12178	18420
796	12216	18439
797	12253	18457
798	12282	18462
799	12301	18452
800	12321	18444
801	12339	18433
802	12356	18419
803	12372	18404
804	12387	18388
805	12401	18371
806	12416	18355
807	12432	18340
808	12446	18324
809	12462	18309
810	12479	18296
811	12495	18280
812	12511	18266
813	12527	18252
814	12543	18237
815	12559	18223
816	12575	18209
817	12591	18194
818	12606	18178
819	12621	18163
820	12638	18149
821	12652	18132
822	12668	18117
823	12683	18101
824	12698	18085
825	12714	18071
826	12730	18056
827	12745	18041
828	12762	18027
829	12778	18013
830	12793	17997
831	12809	17982
832	12825	17968
833	12842	17954
834	12858	17940
835	12874	17925
836	12890	17910
837	12906	17896
838	12922	17881
839	12939	17868
840	12955	17853
841	12970	17838
842	12985	17822
843	13001	17807
844	13017	17792
845	13033	17778
846	13049	17764
847	13065	17749
848	13081	17735
849	13097	17719
850	13113	17705
851	13128	17689
852	13145	17675
853	13162	17662
854	13177	17647
855	13194	17634
856	13212	17621
857	13228	17607
858	13243	17591
859	13258	17575
860	13275	17562
861	13292	17548
862	13308	17534
863	13323	17518
864	13339	17502
865	13355	17488
866	13371	17473
867	13387	17458
868	13402	17443
869	13418	17428
870	13432	17411
871	13448	17396
872	13464	17381
873	13479	17366
874	13497	17353
875	13513	17339
876	13530	17325
877	13546	17311
878	13562	17296
879	13579	17282
880	13595	17268
881	13612	17254
882	13627	17239
883	13643	17224
884	13658	17207
885	13674	17193
886	13690	17178
887	13706	17163
888	13737	17168
889	13761	17163
890	13792	17166
891	13817	17163
892	13836	17152
893	13855	17141
894	13876	17132
895	13894	17119
896	13909	17103
897	13928	17093
898	13944	17077
899	13961	17063
900	13985	17058
901	14006	17049
902	14025	17038
903	14048	17032
904	14068	17022
905	14086	17009
906	14102	16994
907	14118	16979
908	14134	16964
909	14150	16948
910	14165	16933
911	14181	16917
912	14196	16901
913	14210	16885
914	14225	16868
915	14241	16853
916	14255	16836
917	14270	16819
918	14285	16804
919	14302	16790
920	14319	16775
921	14335	16760
922	14351	16745
923	14366	16730
924	14382	16714
925	14397	16698
926	14415	16685
927	14430	16670
928	14445	16653
929	14460	16637
930	14476	16622
931	14491	16605
932	14505	16589
933	14521	16573
934	14535	16556
935	14554	16544
936	14575	16535
937	14594	16524
938	14611	16510
939	14627	16494
940	14643	16479
941	14658	16463
942	14673	16447
943	14689	16431
944	14704	16415
945	14719	16399
946	14734	16383
947	14751	16369
948	14766	16353
949	14782	16338
950	14800	16325
951	14819	16313
952	14834	16297
953	14848	16280
954	14862	16263
955	14876	16246
956	14892	16231
957	14907	16214
958	14921	16197
959	14937	16181
960	14951	16165
961	14966	16148
962	14982	16133
963	14997	16118
964	15013	16102
965	15028	16086
966	15043	16070
967	15059	16055
968	15075	16039
969	15090	16024
970	15106	16008
971	15121	15993
972	15137	15977
973	15152	15961
974	15167	15944
975	15181	15928
976	15197	15913
977	15212	15897
978	15228	15881
979	15244	15866
980	15260	15851
981	15275	15835
982	15292	15821
983	15308	15806
984	15324	15791
985	15340	15775
986	15355	15760
987	15371	15745
988	15387	15729
989	15402	15714
990	15420	15700
991	15437	15686
992	15454	15672
993	15471	15657
994	15488	15644
995	15505	15630
996	15522	15616
997	15539	15601
998	15555	15586
999	15572	15572
1000	15590	15559
1001	15608	15545
1002	15625	15532
1003	15643	15518
1004	15664	15508
1005	15684	15497
1006	15704	15485
1007	15722	15472
1008	15740	15460
1009	15763	15451
1010	15782	15439
1011	15803	15428
1012	15819	15413
1013	15837	15399
1014	15855	15387
1015	15871	15371
1016	15887	15356
1017	15903	15340
1018	15922	15328
1019	15940	15314
1020	15956	15300
1021	15975	15287
1022	15994	15274
1023	16015	15264
1024	16042	15259
1025	16063	15249
1026	16082	15237
1027	16099	15222
1028	16116	15207
1029	16136	15196
1030	16161	15189
1031	16180	15177
1032	16197	15162
1033	16214	15147
1034	16244	15145
1035	16267	15137
1036	16293	15130
1037	16315	15120
1038	16337	15110
1039	16355	15097
1040	16375	15085
1041	16392	15070
1042	16412	15059
1043	16440	15054
1044	16463	15045
1045	16484	15034
1046	16503	15021
1047	16519	15006
1048	16539	14994
1049	16556	14979
1050	16574	14965
1051	16592	14952
1052	16608	14936
1053	16624	14920
1054	16639	14904
1055	16654	14888
1056	16670	14872
1057	16688	14858
1058	16704	14843
1059	16720	14827
1060	16737	14812
1061	16755	14798
1062	16773	14785
1063	16796	14775
1064	16820	14767
1065	16842	14757
1066	16863	14745
1067	16882	14732
1068	16899	14717
1069	16915	14702
1070	16933	14688
1071	16955	14678
1072	16977	14667
1073	16997	14655
1074	17015	14641
1075	17033	14627
1076	17052	14614
1077	17071	14600
1078	17091	14588
1079	17112	14577
1080	17137	14569
1081	17163	14561
1082	17191	14556
1083	17212	14545
1084	17236	14535
1085	17255	14522
1086	17273	14508
1087	17295	14497
1088	17317	14487
1089	17343	14479
1090	17361	14465
1091	17378	14450
1092	17396	14436
1093	17415	14422
1094	17434	14409
1095	17454	14396
1096	17475	14384
1097	17494	14371
1098	17524	14367
1099	17550	14359
1100	17569	14345
1101	17589	14333
1102	17605	14317
1103	17621	14301
1104	17637	14285
1105	17653	14269
1106	17667	14252
1107	17683	14235
1108	17697	14218
1109	17713	14202
1110	17728	14186
1111	17743	14169
1112	17759	14153
1113	17775	14137
1114	17791	14121
1115	17807	14105
1116	17825	14091
1117	17843	14076
1118	17859	14060
1119	17880	14049
1120	17901	14036
1121	17922	14025
1122	17942	14011
1123	17968	14003
1124	17994	13996
1125	18024	13990
1126	18041	13975
1127	18057	13959
1128	18074	13944
1129	18089	13927
1130	18104	13910
1131	18120	13894
1132	18136	13878
1133	18154	13863
1134	18169	13847
1135	18185	13831
1136	18200	13814
1137	18216	13798
1138	18237	13785
1139	18252	13769
1140	18266	13751
1141	18280	13734
1142	18295	13717
1143	18308	13699
1144	18327	13685
1145	18341	13668
1146	18356	13651
1147	18373	13635
1148	18388	13619
1149	18404	13603
1150	18419	13586
1151	18434	13570
1152	18451	13554
1153	18466	13537
1154	18482	13521
1155	18498	13505
1156	18512	13488
1157	18526	13470
1158	18540	13453
1159	18556	13437
1160	18570	13420
1161	18585	13403
1162	18599	13385
1163	18613	13368
1164	18626	13350
1165	18640	13333
1166	18655	13316
1167	18669	13298
1168	18683	13281
1169	18699	13265
1170	18715	13249
1171	18736	13236
1172	18753	13222
1173	18778	13212
1174	18809	13206
1175	18833	13196
1176	18851	13181
1177	18870	13167
1178	18886	13151
1179	18902	13135
1180	18918	13119
1181	18934	13103
1182	18950	13087
1183	18966	13071
1184	18981	13054
1185	18995	13037
1186	19009	13019
1187	19024	13003
1188	19038	12986
1189	19052	12968
1190	19067	12951
1191	19081	12934
1192	19098	12918
1193	19114	12902
1194	19128	12885
1195	19142	12868
1196	19156	12851
1197	19172	12834
1198	19188	12818
1199	19204	12803
1200	19220	12787
1201	19236	12770
1202	19251	12754
1203	19267	12738
1204	19282	12721
1205	19299	12706
1206	19314	12689
1207	19330	12673
1208	19345	12657
1209	19360	12640
1210	19375	12623
1211	19390	12607
1212	19405	12590
1213	19420	12573
1214	19435	12557
1215	19452	12541
1216	19468	12525
1217	19483	12509
1218	19499	12492
1219	19513	12475
1220	19529	12460
1221	19545	12444
1222	19562	12428
1223	19580	12413
1224	19594	12396
1225	19610	12380
1226	19624	12363
1227	19639	12346
1228	19654	12330
1229	19669	12313
1230	19684	12297
1231	19700	12280
1232	19715	12264
1233	19732	12248
1234	19746	12231
1235	19760	12214
1236	19777	12198
1237	19791	12182
1238	19806	12165
1239	19822	12148
1240	19836	12132
1241	19853	12116
1242	19869	12100
1243	19884	12084
1244	19899	12067
1245	19914	12050
1246	19929	12034
1247	19947	12019
1248	19965	12004
1249	19986	11991
1250	20000	11974
1251	20014	11957
1252	20030	11941
1253	20047	11925
1254	20060	11908
1255	20076	11892
1256	20094	11877
1257	20108	11860
1258	20122	11843
1259	20138	11827
1260	20153	11810
1261	20167	11793
1262	20185	11779
1263	20201	11762
1264	20214	11745
1265	20228	11728
1266	20240	11709
1267	20254	11692
1268	20266	11674
1269	20279	11656
1270	20291	11638
1271	20309	11623
1272	20321	11605
1273	20333	11587
1274	20346	11569
1275	20357	11551
1276	20369	11532
1277	20382	11514
1278	20394	11496
1279	20406	11478
1280	20419	11460
1281	20431	11442
1282	20443	11424
1283	20456	11406
1284	20469	11389
1285	20482	11372
1286	20494	11354
1287	20506	11336
1288	20518	11317
1289	20530	11299
1290	20542	11281
1291	20554	11263
1292	20566	11245
1293	20578	11227
1294	20592	11210
1295	20615	11198
1296	20629	11181
1297	20645	11165
1298	20660	11149
1299	20676	11133
1300	20691	11117
1301	20708	11101
1302	20723	11085
1303	20737	11068
1304	20753	11052
1305	20767	11035
1306	20783	11019
1307	20798	11003
1308	20812	10986
1309	20826	10969
1310	20840	10952
1311	20854	10935
1312	20868	10918
1313	20882	10902
1314	20900	10887
1315	20916	10871
1316	20931	10854
1317	20945	10838
1318	20960	10822
1319	20975	10805
1320	20990	10789
1321	21005	10772
1322	21018	10755
1323	21032	10738
1324	21046	10721
1325	21060	10704
1326	21074	10688
1327	21088	10671
1328	21102	10654
1329	21116	10637
1330	21130	10620
1331	21145	10604
1332	21157	10586
1333	21170	10569
1334	21183	10552
1335	21195	10534
1336	21208	10517
1337	21220	10499
1338	21236	10483
1339	21249	10466
1340	21262	10449
1341	21275	10431
1342	21288	10414
1343	21300	10396
1344	21313	10379
1345	21325	10361
1346	21338	10344
1347	21350	10326
1348	21363	10309
1349	21375	10292
1350	21388	10274
1351	21400	10257
1352	21412	10239
1353	21424	10221
